"","rules","support","confidence","coverage","lift","count"
"1","{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,0.00213523131672598,11.2352693602694,19
"2","{cereals,curd} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"3","{bottled beer,soups} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"4","{house keeping products,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"5","{pastry,sweet spreads} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"6","{rice,sugar} => {whole milk}",0.00122013218098627,1,0.00122013218098627,3.91364902506964,12
"7","{bottled water,rice} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"8","{canned fish,hygiene articles} => {whole milk}",0.00111845449923742,1,0.00111845449923742,3.91364902506964,11
"9","{grapes,onions} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"10","{hard cheese,oil} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"11","{butter,rice,root vegetables} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"12","{fruit/vegetable juice,herbs,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"13","{citrus fruit,herbs,tropical fruit} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"14","{flour,root vegetables,whipped/sour cream} => {whole milk}",0.00172852058973055,1,0.00172852058973055,3.91364902506964,17
"15","{butter,domestic eggs,soft cheese} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"16","{soft cheese,tropical fruit,whipped/sour cream} => {other vegetables}",0.00122013218098627,0.923076923076923,0.00132180986273513,4.77060511742593,12
"17","{root vegetables,soft cheese,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"18","{citrus fruit,root vegetables,soft cheese} => {other vegetables}",0.00101677681748856,1,0.00101677681748856,5.16815554387809,10
"19","{frankfurter,frozen meals,tropical fruit} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"20","{frankfurter,frozen meals,tropical fruit} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"21","{butter,frozen meals,tropical fruit} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"22","{hard cheese,tropical fruit,whipped/sour cream} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"23","{butter milk,pork,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"24","{butter milk,fruit/vegetable juice,pip fruit} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
