Brand Code,Carb Volume,Fill Ounces,PC Volume,Carb Pressure,Carb Temp,PSC,PSC Fill,PSC CO2,Mnf Flow,Carb Pressure1,Fill Pressure,Hyd Pressure1,Hyd Pressure2,Hyd Pressure3,Hyd Pressure4,Filler Level,Filler Speed,Temperature,Usage cont,Carb Flow,Density,MFR,Balling,Pressure Vacuum,PH,Oxygen Filler,Bowl Setpoint,Pressure Setpoint,Air Pressurer,Alch Rel,Carb Rel,Balling Lvl
B,5.34,23.96666667,0.263333333,68.2,141.2,0.104,0.26,0.04,-100,118.8,46,0,,,118,121.2,4002,66,16.18,2932,0.88,725,1.398,-4,8.36,0.022,120,46.4,142.6,6.58,5.32,1.48
A,5.426666667,24.00666667,0.238666667,68.4,139.6,0.124,0.22,0.04,-100,121.6,46,0,,,106,118.6,3986,67.6,19.9,3144,0.92,726.8,1.498,-4,8.26,0.026,120,46.8,143,6.56,5.3,1.56
B,5.286666667,24.06,0.263333333,70.8,144.8,0.09,0.34,0.16,-100,120.2,46,0,,,82,120,4020,67,17.76,2914,1.58,735,3.142,-3.8,8.94,0.024,120,46.6,142,7.66,5.84,3.28
A,5.44,24.00666667,0.293333333,63,132.6,,0.42,0.04,-100,115.2,46.4,0,0,0,92,117.8,4012,65.6,17.42,3062,1.54,730.6,3.042,-4.4,8.24,0.03,120,46,146.2,7.14,5.42,3.04
A,5.486666667,24.31333333,0.111333333,67.2,136.8,0.026,0.16,0.12,-100,118.4,45.8,0,0,0,92,118.6,4010,65.6,17.68,3054,1.54,722.8,3.042,-4.4,8.26,0.03,120,46,146.2,7.14,5.44,3.04
A,5.38,23.92666667,0.269333333,66.6,138.4,0.09,0.24,0.04,-100,119.6,45.6,0,0,0,116,120.2,4014,66.2,23.82,2948,1.52,738.8,2.992,-4.4,8.32,0.024,120,46,146.6,7.16,5.44,3.02
A,5.313333333,23.88666667,0.268,64.2,136.8,0.128,0.4,0.04,-100,122.2,51.8,0,0,0,124,123.4,,65.8,20.74,30,0.84,,1.298,-4.4,8.4,0.066,120,46,146.2,6.54,5.38,1.44
B,5.32,24.17333333,0.220666667,67.6,141.4,0.154,0.34,0.04,-100,124.2,46.8,0,0,0,132,118.6,1004,65.2,18.96,684,0.84,,1.298,-4.4,8.38,0.046,120,46,146.4,6.52,5.34,1.44
B,5.246666667,23.98,0.262666667,64.2,140.2,0.132,0.12,0.14,-100,120.8,46,0,0,0,90,120.2,4014,65.4,18.4,2902,0.9,740.4,1.446,-4.4,8.38,0.064,120,46,147.2,6.52,5.34,1.44
B,5.266666667,24.00666667,0.231333333,72,147.4,0.014,0.24,0.06,-100,119.8,45.2,0,0,0,108,120.8,4028,66.6,13.5,3038,0.9,692.4,1.448,-4.4,8.5,0.022,120,46,146.2,6.54,5.34,1.38
B,5.32,23.92,0.258666667,66.2,139.4,0.078,0.18,0.04,-100,119.6,46.6,0,0,0,94,119.6,4020,65,19.04,3056,0.9,727,1.448,-4.4,8.34,0.03,120,46,146.2,6.52,5.34,1.44
B,5.353333333,24.06666667,0.251333333,61.6,132.8,0.11,0.18,0.02,-100,119.2,46.6,0,0,0,86,119.6,4012,65.4,18.44,3110,0.92,735,1.498,-4.4,8.34,0.058,120,46,146.8,6.52,5.34,1.44
B,5.22,23.89333333,0.267333333,63.4,141,0.114,0.38,,-100,117.4,45.4,0,0,0,98,121,4012,65,17.12,2870,0.92,729.6,1.498,-4.4,8.34,0.048,120,46,146,6.52,5.34,1.46
B,5.266666667,23.89333333,0.228666667,71.6,147.8,0.096,0.22,0.04,-100,113.6,46,0,0,0,94,120,4012,65,23.44,3040,0.92,731,1.498,-4.4,8.38,0.046,120,46,146.8,6.52,5.34,1.44
B,5.266666667,23.87333333,0.334,72.6,148,0.16,0.36,0.08,-100,120.2,46.6,0,0,0,92,120,4010,65,21.16,3056,0.9,732.4,1.448,-4.4,8.4,0.066,120,46,146.6,6.52,5.34,1.44
B,5.286666667,23.86666667,0.256666667,68,143.2,0.034,0.16,0.02,-100,129,47.4,0,0,0,96,119.8,4010,65.2,19.88,3290,0.9,731,1.448,-4.4,8.42,0.046,120,46,146,6.52,5.34,1.42
C,5.226666667,23.69333333,0.316666667,63.8,138.2,0.124,0.2,0.06,-100,123.4,48.8,0,0,0,92,120.2,1624,68.8,17.02,3200,0.46,295.8,0.346,-4.2,8.58,0.164,120,46,146.6,6.52,5.34,1.46
B,5.353333333,23.99333333,0.279333333,64.8,137,0.146,0.06,0.02,-100,115.6,46.4,0,0,0,94,120.4,4012,65.2,21.82,3082,0.88,726.4,1.398,-4,8.5,0.046,120,46,146.8,6.52,5.36,1.46
B,5.366666667,24.09333333,0.261333333,70.6,143.8,0.22,0.48,0.08,-100,121.4,47,0,0,0,98,116.4,3060,65.4,20.32,3324,0.84,535.8,1.298,-4,8.44,0.064,120,46,146.8,6.52,5.28,1.44
